name,the_geom
,POINT (131325.20719005208 6024094.474304697)
Garage Caillère Frères,POINT (-98331.71927215936 6052429.455602907)
Ambrosini - Tout Faire,POINT (748424.330549885 6294819.875590139)
Euromaster,POINT (765124.1564739345 6047038.418576798)
Serres Tixier,POINT (-7540.508646433684 5986941.0092091095)
Cindirella,POINT (267114.6046985669 5956110.578347026)
Garage Pro-Tech,POINT (866631.0071719312 6204130.120575533)
Point P,POINT (74478.82987672077 5707361.419139217)
Gamm Vert,POINT (522113.2629167177 5661623.462911944)
Point P,POINT (-187450.0007319096 6331739.685050676)
Garage Vouzelaud,POINT (125470.72520044704 5747547.92903053)
Pillaud Matériaux,POINT (346184.01614688 6265594.572911813)
Garage CZ Auto,POINT (821169.0462181552 6223127.742051659)
Centre Bourse,POINT (598408.7628855319 5357362.4450993175)
Bricoman,POINT (273415.8358760336 6323750.260098496)
Point P,POINT (-151653.70780996943 6215487.951575827)
Myriam Fleurs,POINT (-267036.1262389901 6095768.348010347)
Feu Vert,POINT (310884.2267134917 6536726.295648223)
Bricopro,POINT (72505.69627903418 6136674.961731638)
Bricoman,POINT (208591.6837318632 6462779.483920488)
Renault,POINT (274770.4386108787 6249931.317671618)
Autobacs,POINT (275633.5994689205 6253692.376260616)
Graffiti,POINT (544434.5736261165 5610900.514192913)
,POINT (713034.1238977162 6138956.311067522)
Lidl,POINT (158409.79063240654 5537223.138064764)
Ecouter Voir,POINT (127831.0504395162 6279281.018952584)
Centre commercial la Rouvière,POINT (603694.234601827 5350590.242360616)
Bricomarché,POINT (-397449.92700754805 6151913.36070058)
,POINT (275879.1416697462 6250407.96959813)
Centre commercial Liberté,POINT (267735.02100316924 6245391.091742608)
Renault occasion,POINT (308348.9559926373 6177505.242119077)
Tournus Démolition Auto,POINT (545893.5105632651 5873099.863442066)
"Le potager gourmand, le jardin de l'apier",POINT (424001.8426439631 5499319.191713224)
Relay,POINT (262624.85703349125 6254021.718844959)
Payart,POINT (524975.9361037508 6398705.577606383)
Carrefour,POINT (126213.2245704849 6278646.241347616)
Darty,POINT (248913.7670004941 6256268.531615493)
Jardiland,POINT (244622.99506441262 6266852.016644231)
Fillo auto,POINT (301355.47282752156 6185143.038891091)
Metro,POINT (238817.20793291516 6283726.112715007)
Gold Flower,POINT (551486.4411946456 6394551.74120558)
Odysseum,POINT (436487.30443523644 5404417.665347157)
bi1,POINT (498622.54313892405 5963360.267394676)
Citroën,POINT (550658.2157080628 5963228.148717664)
Garage Renault,POINT (527173.7043966815 5798307.131346321)
Cocktail Scandinave,POINT (438397.3901436191 5402447.54980014)
Chausson Matériaux,POINT (529609.0598634082 5925806.935924004)
Kiabi,POINT (677137.9248173482 5769901.23153219)
,POINT (238638.86878011233 6263000.540436965)
Château de Buffavent,POINT (516964.23404686723 5782504.135513209)
LaMaison.fr avec Agrial,POINT (-52445.471715217274 6195559.916664549)
,POINT (-97001.66278057222 6196601.586262366)
Les Serres de Noisy,POINT (228467.7551427343 6247902.739423732)
Boulangerie Bouvelle,POINT (195351.46619028115 6083545.450918132)
E.Leclerc Drive,POINT (84144.326572339 5651174.573674021)
Centre commercial Auchan,POINT (-34032.7141930164 5729746.456816115)
Wendel,POINT (70583.97695666488 5493745.770447853)
Renault,POINT (276887.9177886134 6224297.156116309)
Mr.Bricolage,POINT (-73224.15994017468 5740861.104876351)
Saint Laurent,POINT (258399.7062734072 6252683.20216179)
Central optique,POINT (-147278.132969112 6194424.874957309)
One Nation Paris,POINT (220525.79855719768 6245981.400041216)
Centre Commercial du Val Saint-Clair,POINT (-36092.44027780299 6309868.328409388)
Bricomarché,POINT (306460.35907389363 6179027.858004663)
Le Panier Frais,POINT (203876.08023773393 6267649.732733966)
Carrosserie Malle,POINT (-156375.45096109953 6150210.198097871)
,POINT (-86232.06554575058 6008984.688680566)
,POINT (-85270.81321696038 6008941.341163008)
Toiles de Mayenne,POINT (-75751.80864451505 6153319.70558055)
Cap Émeraude,POINT (583600.285279245 5815761.638802561)
CNIT,POINT (249298.85416308776 6256681.061268556)
Centre Commercial Saint-Christoly,POINT (-64232.50890443782 5596236.340883261)
Weston,POINT (142107.52973525267 5760544.375550668)
Havas Voyages,POINT (196022.23012106685 6526640.013810118)
Pain au feu de bois,POINT (-90867.66624079041 6180048.803866929)
Bricomarché,POINT (-108710.36779561729 5773474.115436843)
Delrieu,POINT (152064.523497034 6230213.8763713455)
Maison Dosnon,POINT (366800.43843189615 6120288.591080474)
Domaine de Saint-Ferréol,POINT (382791.614951227 5390668.449609153)
SBA Vannes,POINT (-300353.78513120784 6048218.769101421)
Le Vesti'Aire,POINT (266588.4785227867 6557511.790140654)
,POINT (-18956.718226250443 6032584.0080614835)
Degrif' des marques,POINT (152086.15323351906 6230262.919739538)
,POINT (273680.13899718673 5957873.8219772605)
Weldom,POINT (838623.1245620274 6037110.713282194)
,POINT (510972.46742334473 6227951.73918788)
Maison de la Presse,POINT (323444.3573703514 6523646.808816277)
Centre commercial,POINT (597723.6409968906 5370862.857800928)
Centre Commercial Créteil Soleil,POINT (273398.69841549516 6237587.865712495)
Carrefour,POINT (273396.7468830122 6237312.050893026)
Peugeot,POINT (349008.9941305294 6575848.9888394)
IKEA,POINT (265525.1305622138 6234117.905810235)
Intermarché,POINT (16369.799674552902 5544432.899209149)
Point P,POINT (544474.3819894362 5612741.154645741)
SICOBOIS - bois panneaux menuiseries,POINT (544547.1123228396 5612743.350531651)
Point P,POINT (544503.4464294172 5612908.853784666)
Centre Commercial Bercy 2,POINT (266453.42496246845 6245421.792834492)
Concession J. Verdier,POINT (284726.4446550494 6268198.208510907)
Centre Commercial de La Patinoire,POINT (281947.0348891928 6252567.8588659605)
,POINT (581425.2593945863 5881815.559027416)
Atol,POINT (581235.8902577152 5881808.31590739)
mini market,POINT (319896.5978702056 6537292.344530647)
Istanbul Market,POINT (272474.5826713771 6229090.709985471)
Graphibus,POINT (-183692.48587019971 5979951.022966931)
Casino,POINT (358058.5962165532 5364531.2482632175)
Polygone Béziers,POINT (359060.1406298614 5363192.126831442)
Blanc Brun - Tele Station Video TVS,POINT (181911.49030721877 6274906.848107846)
,POINT (244530.8514271597 6265699.975148181)
Les Couronneries,POINT (39796.818072895716 5875269.110026282)
Thiais Village,POINT (265643.0110852423 6233898.9520417005)
Centre commercial des Près Saint-Martin/Pontault 2000,POINT (290278.56931546953 6240884.684454609)
Microcar,POINT (284895.14839114505 6531016.849943665)
,POINT (-147176.0226302266 5923636.445093008)
Acoustic & Jazz,POINT (259916.58789278116 6254840.395132958)
Richardson,POINT (547844.8199086263 5609908.309953607)
Fleurs Burn,POINT (811916.4407969043 6107432.04042091)
Un coin de nature,POINT (312782.56625756004 6550436.497730941)
Centre Commercial Jean Mermoz,POINT (255028.72838932552 6242605.179808572)
Pascal Lami,POINT (282819.96691706177 6245571.713111851)
Maison Cardoso,POINT (282793.29412800196 6245551.470428537)
Cerezo Contemporain,POINT (156899.7703253654 5393586.273764276)
,POINT (-46546.05085032493 5878707.11296061)
But,POINT (232748.0227314559 5981301.395614766)
Carrefour,POINT (347677.65001626866 6565067.250939798)
Réparateur agréé Lexus - Garage Sudria,POINT (321970.590612838 5262429.2601749115)
Renault,POINT (321419.13866032014 5262051.167496376)
Renault,POINT (-182248.00463305955 6128601.031837524)
Le fournil d'autrefois,POINT (241115.51579501998 6179369.627080846)
Barbier Luminaire,POINT (254757.5862075646 6252737.122246599)
Sogratec,POINT (248505.16335174264 6259323.418485499)
Nissan,POINT (-304904.6907896435 6190863.946816442)
Centre commercial Saint-Jacques,POINT (289547.0863247501 5836012.482302221)
Lexus Villiers,POINT (283468.0662718878 6247014.802538591)
Boucherie Briche,POINT (266520.46762062685 6629357.102905041)
Renault Toulouse Etats-Unis - Edenauto,POINT (159294.48236589847 5408480.841941944)
Galerie Hoche,POINT (267617.03755709715 6256365.405131837)
Carrefour City,POINT (-270130.80997355527 5995797.063999417)
Aldi,POINT (272191.61433299375 6318233.251136238)
Quincaillerie Bailly,POINT (-209023.03883735096 5917244.312141292)
Kaviari Delikatessen,POINT (256825.06063903956 6250423.222287745)
Les Docks Village,POINT (597388.208527433 5358827.121606602)
Renault Agen - Edenauto,POINT (68379.79613197519 5494513.495133274)
Garage de la Gare,POINT (264253.2045703286 6195669.8754974045)
,POINT (262334.18124204443 6265133.635071557)
Marques Avenue,POINT (272401.8275142732 6208754.580464571)
Boulangerie Marcille,POINT (227769.37786190267 6617448.438091616)
,POINT (259195.58413299968 6249523.107705327)
,POINT (-36305.878212494295 5358550.940333514)
Arvernis Automobile,POINT (350121.5444941391 5741094.465903808)
Halles de Lyon Paul Bocuse,POINT (539960.6519400144 5742430.927705053)
,POINT (262654.0760998257 6252166.434799539)
Galerie Vivienne,POINT (260454.7077444776 6252281.488243889)
IKEA,POINT (331435.244410666 6559545.383007752)
Centre Saint-Jacques,POINT (687693.2554725695 6294857.59032911)
Garage Froelicher,POINT (687748.1928934954 6219566.227307468)
Grand Hôtel-Dieu,POINT (538394.8959976402 5741780.698441613)
Peugeot,POINT (-497503.59069741576 6176598.938978801)
